,index,node,importance,Unnamed: 0,symbol,weight,Type,In OncomiR
39,39,hsa-miR-148b-5p,0.003373862771068042,,,,non-coding,Yes
43,43,hsa-let-7c-5p,0.002830990888384138,,,,non-coding,Yes
48,48,hsa-miR-125b-5p,0.002667793424697851,,,,non-coding,Yes
50,50,hsa-miR-27b-5p,0.0025165599617891234,,,,non-coding,Yes
51,51,hsa-miR-424-5p,0.002480794507314083,,,,non-coding,Yes
52,52,hsa-miR-9-5p,0.002459774601524746,,,,non-coding,Yes
53,53,hsa-miR-181a-5p,0.002444481737892763,,,,non-coding,Yes
55,55,hsa-let-7g-5p,0.002382339975805746,,,,non-coding,Yes
56,56,hsa-miR-331-5p,0.0023819554250852936,,,,non-coding,Yes
57,57,hsa-miR-125a-5p,0.002330004347107283,,,,non-coding,Yes
59,59,hsa-miR-590-5p,0.002184311342840279,,,,non-coding,Yes
60,60,hsa-miR-200c-5p,0.00216244223998884,,,,non-coding,Yes
61,61,hsa-miR-101-3p,0.002145430145166086,,,,non-coding,Yes
63,63,hsa-miR-98-5p,0.0021124615801573635,,,,non-coding,Yes
65,65,hsa-miR-378a-5p,0.0019519895842450797,,,,non-coding,Yes
66,66,hsa-miR-26a-5p,0.0019403777350292405,,,,non-coding,Yes
68,68,hsa-miR-32-5p,0.001911183665434288,,,,non-coding,Yes
69,69,hsa-miR-182-5p,0.0018960161538141215,,,,non-coding,Yes
70,70,hsa-miR-195-5p,0.0018950987204744475,,,,non-coding,Yes
74,74,hsa-miR-146b-5p,0.0018014083437542484,,,,non-coding,Yes
75,75,hsa-miR-324-5p,0.001800425564426558,,,,non-coding,Yes
81,81,hsa-miR-141-5p,0.0016288968054517033,,,,non-coding,Yes
84,84,hsa-miR-362-5p,0.001464881669597786,,,,non-coding,No
85,85,hsa-miR-218-5p,0.0014479606240591252,,,,non-coding,Yes
88,88,hsa-miR-22-5p,0.0014374871745234273,,,,non-coding,Yes
90,90,hsa-miR-145-5p,0.0014220222822488781,,,,non-coding,Yes
95,95,hsa-miR-7-5p,0.0013093036714840731,,,,non-coding,Yes
98,98,hsa-miR-24-1-5p,0.0012832210180463758,,,,non-coding,No
101,101,hsa-miR-140-5p,0.0012655911298298037,,,,non-coding,Yes
102,102,hsa-miR-29c-5p,0.0012613602979424515,,,,non-coding,Yes
103,103,hsa-miR-29b-1-5p,0.0012537554587221018,,,,non-coding,Yes
109,109,hsa-miR-429,0.0012104384271600544,,,,non-coding,Yes
110,110,hsa-miR-106a-5p,0.0012064485274618565,,,,non-coding,Yes
121,121,hsa-miR-877-5p,0.0010778010383962924,,,,non-coding,Yes
125,125,hsa-miR-200b-5p,0.0010312025798865198,,,,non-coding,Yes
136,136,hsa-miR-30a-5p,0.000941179055644964,,,,non-coding,Yes
139,140,hsa-miR-330-5p,0.0009170507784518485,,,,non-coding,Yes
140,141,hsa-miR-21-5p,0.0009140426137922354,,,,non-coding,Yes
142,144,hsa-miR-221-5p,0.000897610768190626,,,,non-coding,No
147,149,hsa-miR-135b-5p,0.0008602856119387778,,,,non-coding,No
150,152,hsa-miR-375,0.0008444271499931828,,,,non-coding,Yes
152,154,hsa-miR-484,0.0008357697305910583,,,,non-coding,Yes
154,156,hsa-miR-192-5p,0.0008334114563177859,,,,non-coding,Yes
155,157,hsa-miR-96-5p,0.0008259560973739894,,,,non-coding,Yes
156,158,hsa-miR-150-5p,0.0008177372926642542,,,,non-coding,Yes
157,159,hsa-miR-197-5p,0.0008087977020226047,,,,non-coding,No
159,161,hsa-miR-138-5p,0.0007832403914879554,,,,non-coding,No
160,162,hsa-miR-1271-5p,0.0007808880085509226,,,,non-coding,Yes
161,163,hsa-miR-33b-5p,0.0007722644572235169,,,,non-coding,Yes
166,168,hsa-miR-493-5p,0.0007511801861504894,,,,non-coding,Yes
179,182,hsa-miR-361-5p,0.0006943157313701449,,,,non-coding,Yes
183,186,hsa-miR-196b-5p,0.0006793925919886471,,,,non-coding,Yes
189,192,hsa-miR-223-5p,0.0006559806743382782,,,,non-coding,No
191,194,hsa-miR-185-5p,0.0006462342534094941,,,,non-coding,Yes
198,201,hsa-miR-214-5p,0.0006265327242245976,,,,non-coding,Yes
199,202,hsa-miR-1306-5p,0.0006252524438275799,,,,non-coding,No
200,204,hsa-miR-369-5p,0.0006188792084981851,,,,non-coding,Yes
205,209,hsa-miR-128-1-5p,0.0006103134700528023,,,,non-coding,No
211,215,hsa-miR-137,0.0005915374275087537,,,,non-coding,Yes
217,221,hsa-miR-204-5p,0.0005805615700340196,,,,non-coding,Yes
221,225,hsa-miR-183-5p,0.0005762810874358564,,,,non-coding,Yes
222,226,hsa-miR-299-5p,0.0005754310203963935,,,,non-coding,Yes
223,227,hsa-miR-149-5p,0.0005716743542331046,,,,non-coding,Yes
227,231,hsa-miR-616-5p,0.0005656852649780786,,,,non-coding,Yes
229,233,hsa-miR-33a-5p,0.0005630452941223645,,,,non-coding,Yes
235,239,hsa-miR-139-5p,0.0005510149839871053,,,,non-coding,Yes
242,246,hsa-miR-382-5p,0.0005372190512832846,,,,non-coding,Yes
245,249,hsa-miR-143-5p,0.0005290337348912156,,,,non-coding,No
249,255,hsa-miR-1307-5p,0.0005177663713087576,,,,non-coding,No
251,257,hsa-miR-340-5p,0.0005163466747315717,,,,non-coding,Yes
254,260,hsa-miR-193b-5p,0.000513214372331496,,,,non-coding,No
256,262,hsa-miR-224-5p,0.0005096550984165251,,,,non-coding,Yes
258,264,hsa-miR-423-5p,0.0005052415748277077,,,,non-coding,No
259,265,hsa-miR-381-5p,0.0005035246316202141,,,,non-coding,No
262,268,hsa-miR-942-5p,0.0004961919912651955,,,,non-coding,No
263,269,hsa-miR-377-5p,0.0004959022152431296,,,,non-coding,Yes
264,270,hsa-miR-526b-5p,0.0004946493511111624,,,,non-coding,Yes
265,271,hsa-miR-92b-5p,0.0004934518858217393,,,,non-coding,Yes
269,275,hsa-miR-30c-5p,0.0004859764305243206,,,,non-coding,Yes
270,276,hsa-miR-760,0.0004853994110089914,,,,non-coding,Yes
275,282,hsa-miR-342-5p,0.0004789050785077531,,,,non-coding,Yes
276,283,hsa-miR-410-5p,0.0004773850775909722,,,,non-coding,No
281,288,hsa-miR-615-5p,0.00047444191559792027,,,,non-coding,No
282,289,hsa-miR-452-5p,0.00047288633986044187,,,,non-coding,Yes
285,292,hsa-miR-497-5p,0.00047089879196325624,,,,non-coding,Yes
288,295,hsa-miR-30d-5p,0.00046766344235106826,,,,non-coding,Yes
289,296,hsa-miR-200a-5p,0.00046627453552577664,,,,non-coding,Yes
290,297,hsa-miR-30b-5p,0.0004623042400602299,,,,non-coding,Yes
301,308,hsa-miR-326,0.0004511734165158462,,,,non-coding,Yes
302,309,hsa-miR-222-5p,0.00045102842442115297,,,,non-coding,No
308,315,hsa-miR-99a-5p,0.00044778262505999327,,,,non-coding,Yes
309,316,hsa-miR-100-5p,0.00044681556805364696,,,,non-coding,Yes
316,323,hsa-miR-937-5p,0.0004362369608981517,,,,non-coding,No
324,331,hsa-miR-6728-5p,0.0004305537486594838,,,,non-coding,No
327,334,hsa-miR-191-5p,0.0004274963848024405,,,,non-coding,Yes
335,342,hsa-miR-4677-5p,0.0004121092280638424,,,,non-coding,No
342,349,hsa-miR-548s,0.0004047298086887112,,,,non-coding,No
351,358,hsa-miR-939-5p,0.00039811348155670875,,,,non-coding,Yes
355,362,hsa-miR-374a-5p,0.0003940701757227501,,,,non-coding,Yes
358,365,hsa-miR-148a-5p,0.00039287807393007245,,,,non-coding,Yes
365,372,hsa-miR-219a-5p,0.0003857447214811639,,,,non-coding,Yes
368,375,hsa-miR-940,0.0003833685541139184,,,,non-coding,Yes
369,376,hsa-miR-1226-5p,0.0003832135314689201,,,,non-coding,No
377,384,hsa-miR-539-5p,0.00037901155782617084,,,,non-coding,Yes
379,386,hsa-miR-548d-5p,0.00037607213153291046,,,,non-coding,No
385,392,hsa-miR-4766-5p,0.00037323026348687403,,,,non-coding,No
391,399,hsa-miR-655-5p,0.0003702474687222176,,,,non-coding,No
392,400,hsa-miR-181d-5p,0.0003696700216077283,,,,non-coding,No
396,406,hsa-miR-152-5p,0.000364460771000147,,,,non-coding,No
397,407,hsa-miR-532-5p,0.00036417117512372324,,,,non-coding,No
398,408,hsa-miR-18b-5p,0.00036373618082415256,,,,non-coding,No
401,411,hsa-miR-181c-5p,0.0003610365375392244,,,,non-coding,No
402,412,hsa-miR-31-5p,0.0003601953579505017,,,,non-coding,No
403,413,hsa-miR-671-5p,0.00035972313211019176,,,,non-coding,Yes
409,419,hsa-miR-4638-5p,0.00035512992595158817,,,,non-coding,No
411,421,hsa-miR-24-2-5p,0.0003528374108457686,,,,non-coding,No
418,428,hsa-miR-3648,0.00034980301301889096,,,,non-coding,Yes
423,433,hsa-miR-188-5p,0.0003466586296727143,,,,non-coding,Yes
430,440,hsa-miR-485-5p,0.0003445027400525099,,,,non-coding,Yes
431,441,hsa-miR-210-5p,0.00034424817120073524,,,,non-coding,No
438,449,hsa-miR-421,0.0003405585660380094,,,,non-coding,Yes
442,453,hsa-miR-3680-5p,0.0003376063118683358,,,,non-coding,No
445,456,hsa-miR-379-5p,0.0003355439791484399,,,,non-coding,Yes
463,474,hsa-miR-766-5p,0.00032480611059777174,,,,non-coding,No
465,476,hsa-miR-103a-2-5p,0.0003233535781915632,,,,non-coding,Yes
487,498,hsa-miR-3614-5p,0.000312200108906127,,,,non-coding,Yes
490,501,hsa-miR-660-5p,0.0003112688667937254,,,,non-coding,Yes
504,516,hsa-miR-432-5p,0.00030073778295530126,,,,non-coding,Yes
533,546,hsa-miR-505-5p,0.00028596024795548604,,,,non-coding,Yes
535,548,hsa-miR-502-5p,0.0002857741905568932,,,,non-coding,No
548,561,hsa-miR-345-5p,0.0002787543529743036,,,,non-coding,Yes
553,566,hsa-miR-29a-5p,0.0002757711511207027,,,,non-coding,Yes
558,571,hsa-miR-190b,0.0002739933441708275,,,,non-coding,Yes
559,572,hsa-miR-374b-5p,0.0002739276609002073,,,,non-coding,Yes
571,586,hsa-miR-520b,0.0002701420028744782,,,,non-coding,No
575,590,hsa-miR-3677-5p,0.000268673692106257,,,,non-coding,No
579,595,hsa-miR-628-5p,0.0002669202250912744,,,,non-coding,Yes
581,597,hsa-miR-455-5p,0.0002665234413397687,,,,non-coding,No
583,600,hsa-miR-576-5p,0.000266144956214069,,,,non-coding,Yes
584,601,hsa-miR-636,0.00026521792296168824,,,,non-coding,Yes
587,604,hsa-miR-584-5p,0.00026304634302035454,,,,non-coding,Yes
591,608,hsa-miR-500a-5p,0.00026257607720919074,,,,non-coding,No
592,609,hsa-miR-425-5p,0.00026235248110121923,,,,non-coding,Yes
602,620,hsa-miR-126-5p,0.00025912340260630555,,,,non-coding,Yes
604,622,hsa-miR-1301-5p,0.00025841360726942835,,,,non-coding,No
609,628,hsa-miR-501-5p,0.00025691295463749073,,,,non-coding,Yes
612,632,hsa-miR-500b-5p,0.00025614505563347357,,,,non-coding,No
616,636,hsa-miR-3922-5p,0.0002556996157853175,,,,non-coding,No
617,637,hsa-miR-129-5p,0.0002556414505045,,,,non-coding,Yes
619,639,hsa-miR-4999-5p,0.0002555512198301419,,,,non-coding,No
626,646,hsa-miR-6783-5p,0.00025306374143875944,,,,non-coding,No
627,647,hsa-miR-744-5p,0.0002527146303318253,,,,non-coding,No
644,665,hsa-miR-34c-5p,0.00024848225199062076,,,,non-coding,No
647,668,hsa-miR-378c,0.00024801115292912436,,,,non-coding,Yes
648,669,hsa-miR-542-5p,0.000247595484676884,,,,non-coding,No
654,675,hsa-miR-663a,0.0002458767336094395,,,,non-coding,No
662,683,hsa-miR-4772-5p,0.00024386057959619215,,,,non-coding,No
670,691,hsa-miR-339-5p,0.00024175475987705923,,,,non-coding,No
674,695,hsa-miR-1229-5p,0.0002415152350366977,,,,non-coding,No
677,698,hsa-miR-212-5p,0.0002401175699227746,,,,non-coding,No
679,700,hsa-miR-7705,0.00023892126851618516,,,,non-coding,No
682,703,hsa-miR-20b-5p,0.0002379501420427933,,,,non-coding,Yes
704,725,hsa-miR-10a-5p,0.00023296057958935225,,,,non-coding,Yes
705,726,hsa-miR-5001-5p,0.0002328778983460107,,,,non-coding,No
715,736,hsa-miR-1304-5p,0.00023026120807351067,,,,non-coding,No
718,739,hsa-miR-7112-5p,0.00022974854421518732,,,,non-coding,No
720,741,hsa-miR-495-5p,0.0002294021449614166,,,,non-coding,No
739,760,hsa-miR-409-5p,0.00022436587398411885,,,,non-coding,No
743,764,hsa-miR-6844,0.00022375836779645796,,,,non-coding,No
759,780,hsa-miR-28-5p,0.00021736942938081074,,,,non-coding,No
762,783,hsa-miR-370-5p,0.00021691958695461757,,,,non-coding,No
765,786,hsa-miR-1180-5p,0.0002158830541160228,,,,non-coding,No
768,789,hsa-miR-3200-5p,0.00021548720482255434,,,,non-coding,No
800,822,hsa-miR-3662,0.00020863619761813862,,,,non-coding,Yes
833,855,hsa-miR-1343-5p,0.00020238670664080193,,,,non-coding,No
835,857,hsa-miR-3619-5p,0.00020200285044368155,,,,non-coding,No
837,860,hsa-miR-548b-5p,0.00020160539774395606,,,,non-coding,No
838,861,hsa-miR-589-5p,0.00020156278316615952,,,,non-coding,Yes
846,869,hsa-miR-3926,0.00019976417141994303,,,,non-coding,Yes
863,886,hsa-miR-550a-5p,0.00019685205601943924,,,,non-coding,No
884,907,hsa-miR-153-3p,0.00019301571594318868,,,,non-coding,Yes
890,913,hsa-miR-7974,0.00019236249772667253,,,,non-coding,No
893,916,hsa-miR-10b-5p,0.00019185996416121902,,,,non-coding,Yes
896,919,hsa-miR-1-3p,0.00019110122060227597,,,,non-coding,No
897,920,hsa-miR-580-5p,0.00019109222086871933,,,,non-coding,No
901,924,hsa-miR-6797-5p,0.00019028319631127848,,,,non-coding,No
933,957,hsa-miR-338-5p,0.00018399963425322303,,,,non-coding,Yes
941,965,hsa-miR-3652,0.00018312309691711736,,,,non-coding,No
942,966,hsa-miR-6832-5p,0.00018298003318531863,,,,non-coding,No
944,968,hsa-miR-1914-5p,0.00018258472429891163,,,,non-coding,No
955,979,hsa-miR-92a-2-5p,0.0001811861317257236,,,,non-coding,No
962,986,hsa-miR-491-5p,0.00018055947689050054,,,,non-coding,Yes
967,991,hsa-miR-6499-5p,0.00018033385853256123,,,,non-coding,No
968,992,hsa-miR-1915-5p,0.000180303090629214,,,,non-coding,No
1002,1027,hsa-miR-543,0.00017403429838863815,,,,non-coding,Yes
1005,1030,hsa-miR-3691-5p,0.00017355414016767946,,,,non-coding,No
1026,1051,hsa-miR-411-5p,0.00017112042926766306,,,,non-coding,Yes
1032,1057,hsa-miR-2277-5p,0.00017011716349697725,,,,non-coding,Yes
1034,1059,hsa-miR-4745-5p,0.0001700086429893517,,,,non-coding,No
1037,1062,hsa-miR-215-5p,0.00016947752358756636,,,,non-coding,Yes
1039,1064,hsa-miR-1292-5p,0.00016919175942688164,,,,non-coding,Yes
1040,1065,hsa-miR-6731-5p,0.0001691659274353998,,,,non-coding,No
1053,1078,hsa-miR-2355-5p,0.00016783965059880576,,,,non-coding,No
1062,1087,hsa-miR-6875-5p,0.00016677285991135535,,,,non-coding,No
1070,1095,hsa-miR-934,0.00016550369382344477,,,,non-coding,No
1083,1108,hsa-miR-6798-5p,0.00016380552084653977,,,,non-coding,No
1096,1121,hsa-miR-4665-5p,0.00016256167133376893,,,,non-coding,No
1105,1131,hsa-miR-34a-5p,0.00016153299107954613,,,,non-coding,Yes
1111,1137,hsa-miR-154-5p,0.00016094877503542064,,,,non-coding,Yes
1114,1140,hsa-miR-151a-5p,0.00015980002656640078,,,,non-coding,Yes
1125,1151,hsa-miR-320b,0.00015832312889491818,,,,non-coding,Yes
1137,1164,hsa-miR-3651,0.00015713539130733441,,,,non-coding,Yes
1145,1172,hsa-miR-1277-5p,0.00015608471366991084,,,,non-coding,No
1160,1188,hsa-miR-4786-5p,0.00015484890834492065,,,,non-coding,No
1170,1198,hsa-miR-579-5p,0.00015340450989518128,,,,non-coding,No
1180,1211,hsa-miR-378d,0.00015200937529381562,,,,non-coding,No
1182,1213,hsa-miR-3928-5p,0.0001517640331921187,,,,non-coding,No
1191,1222,hsa-miR-6755-5p,0.0001504928523496833,,,,non-coding,No
1207,1239,hsa-miR-7854-3p,0.00014893301707039384,,,,non-coding,No
1214,1246,hsa-miR-449a,0.00014795785100164079,,,,non-coding,Yes
1226,1259,hsa-miR-3615,0.00014677739612788888,,,,non-coding,Yes
1227,1260,hsa-miR-6511b-5p,0.00014666546985242038,,,,non-coding,No
1241,1274,hsa-miR-3127-5p,0.00014477346081675263,,,,non-coding,Yes
1243,1276,hsa-miR-6793-5p,0.00014450753010522742,,,,non-coding,No
1251,1284,hsa-miR-6850-5p,0.0001435277573017701,,,,non-coding,No
1254,1287,hsa-miR-6834-5p,0.00014328721316799565,,,,non-coding,No
1278,1312,hsa-miR-519a-3p,0.00013967274672184685,,,,non-coding,Yes
1286,1320,hsa-miR-4664-5p,0.0001390196504660848,,,,non-coding,No
1315,1350,hsa-miR-3140-5p,0.00013627640933193947,,,,non-coding,No
1319,1354,hsa-miR-519d-5p,0.00013608212450005357,,,,non-coding,No
1320,1355,hsa-miR-1248,0.00013603185865586294,,,,non-coding,Yes
1322,1357,hsa-miR-3940-5p,0.00013595809591219942,,,,non-coding,No
