,index,node,importance,Unnamed: 0,symbol,weight,Type,In CGC
83,83,PLCG2,0.0014944892236857165,81496.0,PLCG2,8.0,coding,No
86,86,RUNX3,0.0014440681126675584,46946.0,RUNX3,2.0,coding,No
87,87,RARA,0.001441512073711231,51502.0,RARA,1.0,coding,Yes
89,89,TAL1,0.0014316840812333637,17246.0,TAL1,1.0,coding,Yes
91,91,FLI1,0.0014106879800829552,61994.0,FLI1,6.0,coding,Yes
92,92,LAT,0.0014003266777620495,59090.0,LAT,1.0,coding,No
93,93,MMP2,0.0013882833394934517,53395.0,MMP2,4.0,coding,No
94,94,FOS,0.0013444490998098925,58844.0,FOS,1.0,coding,No
96,96,SPI1,0.0013051095180519642,78894.0,SPI1,3.0,coding,No
97,97,YWHAG,0.0012920777106993626,18253.0,YWHAG,1.0,coding,No
99,99,EBF1,0.001276514947408035,88825.0,EBF1,6.0,coding,Yes
100,100,ITK,0.0012751009313524493,82716.0,ITK,8.0,coding,Yes
104,104,CCNA2,0.0012529337732732789,87885.0,CCNA2,4.0,coding,No
105,105,THBS1,0.0012527872448487925,90022.0,THBS1,8.0,coding,No
106,106,SMAD4,0.0012499270573996207,82458.0,SMAD4,7.0,coding,Yes
107,107,SMAD2,0.001243574540625204,84984.0,SMAD2,7.0,coding,Yes
108,108,YY1,0.001236913443047239,86026.0,YY1,2.0,coding,No
111,111,CD2,0.0012005524904865293,82402.0,CD2,4.0,coding,No
112,112,EGFR,0.001155807547802011,80525.0,EGFR,5.0,coding,Yes
113,113,NR3C1,0.0011440668856978037,77555.0,NR3C1,3.0,coding,No
114,114,GATA1,0.0011204145849120833,32953.0,GATA1,2.0,coding,Yes
115,115,PLK1,0.0011168251170772918,83208.0,PLK1,2.0,coding,No
116,116,CBL,0.0011160990733548274,87593.0,CBL,4.0,coding,Yes
117,117,SPARC,0.0011041430562506185,44056.0,SPARC,1.0,coding,No
119,119,MBD3,0.001093425163633755,81430.0,MBD3,3.0,coding,No
120,120,EZH2,0.001085136253044699,62772.0,EZH2,3.0,coding,Yes
122,122,IRF4,0.0010672611632594753,49068.0,IRF4,3.0,coding,Yes
123,123,BTK,0.0010466897748846614,67503.0,BTK,7.0,coding,Yes
124,124,CD4,0.0010385905994957302,80722.0,CD4,4.0,coding,No
126,126,PIK3R1,0.0010233509798880558,85717.0,PIK3R1,18.0,coding,Yes
127,127,TCF4,0.0010178134266121694,87170.0,TCF4,10.0,coding,No
128,128,RUNX1T1,0.0010115308404465178,87558.0,RUNX1T1,6.0,coding,Yes
129,129,FOXO1,0.0010085413593318125,76198.0,FOXO1,2.0,coding,Yes
130,130,HCK,0.001008085186942873,15956.0,HCK,1.0,coding,No
131,131,NCOA2,0.0009670998543386602,81458.0,NCOA2,6.0,coding,Yes
132,132,CEP55,0.0009562458737509607,56003.0,CEP55,2.0,coding,No
133,133,FBN1,0.0009556742369426761,88162.0,FBN1,20.0,coding,No
134,134,NCOA1,0.0009515253633382056,88008.0,NCOA1,5.0,coding,Yes
135,135,SMAD3,0.0009476629434884639,39110.0,SMAD3,4.0,coding,Yes
137,138,COL1A2,0.0009278028544913335,87047.0,COL1A2,10.0,coding,No
138,139,CSF2RB,0.000920908670198928,90258.0,CSF2RB,5.0,coding,No
141,142,MYB,0.0009116631245258122,82225.0,MYB,12.0,coding,Yes
143,145,HIF1A,0.0008938739384506333,76516.0,HIF1A,4.0,coding,Yes
144,146,CDC25A,0.0008910906232578458,62733.0,CDC25A,1.0,coding,No
145,147,JAK3,0.0008892194852641288,76743.0,JAK3,8.0,coding,Yes
146,148,PTPN6,0.0008889915965098771,57869.0,PTPN6,2.0,coding,Yes
148,150,BRCA1,0.0008531332384547081,81262.0,BRCA1,14.0,coding,Yes
149,151,TCF12,0.0008521245238159472,85922.0,TCF12,12.0,coding,Yes
151,153,CD79B,0.0008383278786260896,65893.0,CD79B,2.0,coding,Yes
153,155,CCNB1,0.0008346013661862898,81735.0,CCNB1,6.0,coding,No
158,160,MCM3,0.0008050981028959373,88000.0,MCM3,4.0,coding,No
162,164,PAX5,0.0007666983020023934,58572.0,PAX5,6.0,coding,Yes
163,165,MAPK1,0.000761450600619816,67528.0,MAPK1,1.0,coding,Yes
164,166,YWHAZ,0.0007547570954898165,79690.0,YWHAZ,3.0,coding,No
165,167,BHLHE40,0.0007542508849153547,72212.0,BHLHE40,2.0,coding,No
167,169,TUBB,0.0007435037632470934,38828.0,TUBB,3.0,coding,No
168,170,PTK2B,0.0007424783084758851,83555.0,PTK2B,7.0,coding,No
169,171,MCM7,0.0007375569828361026,90280.0,MCM7,7.0,coding,No
170,172,ZBTB16,0.0007336792330704774,80893.0,ZBTB16,4.0,coding,Yes
171,173,QKI,0.0007240771529305426,19368.0,QKI,2.0,coding,Yes
172,174,PRKCA,0.0007238983651275376,70068.0,PRKCA,4.0,coding,No
173,175,GABPA,0.0007195412141737626,20401.0,GABPA,1.0,coding,No
175,177,CREB1,0.0007149201754673511,15157.0,CREB1,2.0,coding,Yes
176,178,BNC2,0.0007078539607800253,50661.0,BNC2,5.0,coding,No
177,179,ITGB1,0.0007034638509196433,73842.0,ITGB1,5.0,coding,No
178,180,E2F6,0.0006950711318799353,75848.0,E2F6,2.0,coding,No
181,184,CBFB,0.0006865630006809617,90371.0,CBFB,25.0,coding,Yes
184,187,PAG1,0.0006771990471073252,86258.0,PAG1,3.0,coding,No
186,189,DCN,0.0006623285895500284,75572.0,DCN,2.0,coding,No
187,190,JAK2,0.0006595099288999742,48324.0,JAK2,7.0,coding,Yes
188,191,WAS,0.0006565899262284809,87192.0,WAS,6.0,coding,Yes
190,193,MYC,0.0006531573708970283,50407.0,MYC,1.0,coding,Yes
192,195,IRF1,0.0006417699096659118,73718.0,IRF1,2.0,coding,No
193,196,POU2F2,0.0006334336748117275,66749.0,POU2F2,7.0,coding,No
194,197,TRAT1,0.0006332533310110268,79285.0,TRAT1,3.0,coding,No
